type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,FraudProbability,NewSystemFlaggedFraud,PredictionCorrect,PredictionStatus
CASH_OUT,281471.6,25110.0,0.0,36773.0,0.0,0,0.019308084209618274,0,True,TN - No fraude correctamente ignorado
PAYMENT,28216.06,5544.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
PAYMENT,7394.2,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,22406.81,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,382450.18,0.0,0.0,3426440.76,3808890.94,0,0.0006126749430910164,0,True,TN - No fraude correctamente ignorado
PAYMENT,6635.88,42608.0,35972.12,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
TRANSFER,776917.37,119674.0,0.0,940333.77,1717251.15,0,0.0036822775339175697,0,True,TN - No fraude correctamente ignorado
CASH_OUT,97611.1,34512.0,0.0,92981.38,190592.48,0,0.005531156440629236,0,True,TN - No fraude correctamente ignorado
CASH_OUT,96589.25,0.0,0.0,945370.05,1041959.3,0,0.0003717610597047189,0,True,TN - No fraude correctamente ignorado
PAYMENT,2033.51,131.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,13391.08,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,61656.9,853.0,0.0,0.0,61656.9,0,0.004671853244001941,0,True,TN - No fraude correctamente ignorado
CASH_IN,125837.93,6611412.54,6737250.46,977667.81,770490.07,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,164515.34,6015653.74,6180169.08,1205561.72,1041046.37,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,54396.83,771.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_IN,108996.2,4620118.46,4729114.65,130869.41,21873.22,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,6246.77,174514.43,168267.65,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,275501.81,334974.0,59472.19,0.0,275501.81,0,0.03621726895930183,0,True,TN - No fraude correctamente ignorado
PAYMENT,15068.73,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
TRANSFER,473009.23,87977.52,0.0,4662264.51,5135273.74,0,0.001457146885260909,0,True,TN - No fraude correctamente ignorado
CASH_OUT,269382.96,0.0,0.0,2564015.64,2833398.6,0,0.00061576831480687,0,True,TN - No fraude correctamente ignorado
CASH_OUT,163617.2,47747.0,0.0,3021354.48,3184971.68,0,0.006721661880805179,0,True,TN - No fraude correctamente ignorado
PAYMENT,7608.29,27921.0,20312.71,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,233383.34,5055511.85,5288895.19,283922.17,333098.98,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,1759.28,153435.0,151675.72,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
TRANSFER,262108.19,11420.0,0.0,844066.6,1106174.79,0,0.00010726865193723983,0,True,TN - No fraude correctamente ignorado
PAYMENT,5370.99,10504.0,5133.01,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,244404.15,7855153.53,8099557.67,1101173.83,856769.68,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,139565.96,0.0,0.0,163773.91,303339.88,0,0.0007010171137650597,0,True,TN - No fraude correctamente ignorado
CASH_OUT,153869.64,10632.0,0.0,13856.24,167725.88,0,0.0014757882012019082,0,True,TN - No fraude correctamente ignorado
CASH_IN,65553.86,194290.16,259844.01,98166.33,32612.47,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,4967.86,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,27243.77,62718.0,35474.23,1009746.73,1036990.5,0,0.00410031230949729,0,True,TN - No fraude correctamente ignorado
CASH_OUT,76408.47,0.0,0.0,815109.76,891518.23,0,0.0002743038852657994,0,True,TN - No fraude correctamente ignorado
CASH_OUT,29457.24,10578.0,0.0,50203.13,79660.37,0,0.0037880119636034184,0,True,TN - No fraude correctamente ignorado
TRANSFER,1082207.8,12108.55,0.0,1213194.65,2295402.46,0,0.0031314192291559575,0,True,TN - No fraude correctamente ignorado
CASH_OUT,9751.04,0.0,0.0,321681.92,331432.96,0,0.005708827403882372,0,True,TN - No fraude correctamente ignorado
CASH_IN,181065.85,15425.0,196490.85,536551.01,355485.16,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,2172.36,1577276.74,1575104.39,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,162230.48,0.0,0.0,1971728.87,2133959.35,0,0.0014010305720065775,0,True,TN - No fraude correctamente ignorado
CASH_IN,374312.34,49738.0,424050.34,321591.69,0.0,0,2.2648547828403942e-05,0,True,TN - No fraude correctamente ignorado
DEBIT,2797.28,234630.0,231832.72,126859.09,129656.37,0,0.00018997704576179133,0,True,TN - No fraude correctamente ignorado
PAYMENT,9905.24,31335.0,21429.76,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,4927.95,105185.0,100257.05,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,37221.24,9280609.31,9317830.55,4047664.7,4010443.46,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,72932.29,11106.0,0.0,195135.67,268067.96,0,0.0011244786206267828,0,True,TN - No fraude correctamente ignorado
PAYMENT,32334.98,117099.0,84764.02,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,75.33,454449.82,454374.49,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,2753.61,52351.0,49597.39,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,106066.4,543.0,0.0,183235.32,289301.73,0,0.0007010171137650597,0,True,TN - No fraude correctamente ignorado
CASH_OUT,387456.22,648.0,0.0,1298367.57,1685823.8,0,0.0007129742408485989,0,True,TN - No fraude correctamente ignorado
CASH_OUT,217437.0,158.0,0.0,0.0,217437.0,0,0.003002530368731649,0,True,TN - No fraude correctamente ignorado
CASH_OUT,144609.17,202190.0,57580.83,0.0,144609.17,0,0.012094569871245464,0,True,TN - No fraude correctamente ignorado
TRANSFER,389488.74,187.0,0.0,1974964.54,2364453.28,0,0.00010726865193723983,0,True,TN - No fraude correctamente ignorado
PAYMENT,31955.42,619968.49,588013.07,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,47478.88,3974486.04,4021964.92,5383454.85,5335975.96,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,164119.9,18917.51,0.0,234013.42,398133.32,0,0.00047391193993693225,0,True,TN - No fraude correctamente ignorado
CASH_OUT,77818.34,0.0,0.0,810057.63,887875.97,0,0.0002743038852657994,0,True,TN - No fraude correctamente ignorado
CASH_IN,109708.58,6089.0,115797.58,0.0,0.0,0,2.2648547828403942e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,254579.49,4641402.42,4895981.91,1866142.97,1611563.48,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,2189.27,122612.0,120422.73,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,20007.58,64267.45,44259.86,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,142823.58,14291951.21,14434774.79,439319.78,296496.2,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,244906.0,79684.0,324590.0,0.0,0.0,0,0.0005734557653022881,0,True,TN - No fraude correctamente ignorado
CASH_IN,243577.33,60407.0,303984.33,37806.46,0.0,0,5.244673284804366e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,278505.63,16541.0,0.0,393155.55,671661.18,0,0.00038436731842800775,0,True,TN - No fraude correctamente ignorado
PAYMENT,410.47,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,30778.09,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_IN,209046.23,4912156.4,5121202.63,468092.77,259046.54,0,2.1578009194108266e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,252816.9,5403132.14,5655949.04,2423408.02,2170591.12,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,355302.35,3570102.83,3925405.18,1765143.84,1409841.49,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,468678.73,761.0,0.0,244299.65,712978.38,0,0.00047075790477372136,0,True,TN - No fraude correctamente ignorado
CASH_OUT,153570.61,0.0,0.0,4527505.18,4681075.79,0,0.0005301326682427308,0,True,TN - No fraude correctamente ignorado
PAYMENT,22117.83,11180.0,0.0,0.0,0.0,0,0.001517151060805324,0,True,TN - No fraude correctamente ignorado
CASH_IN,123053.33,264278.22,387331.55,214082.94,91029.61,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,206636.74,0.0,0.0,1047349.84,1253986.59,0,0.0002911621391983307,0,True,TN - No fraude correctamente ignorado
CASH_IN,20517.39,1732611.69,1753129.08,1053065.59,1032548.19,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,42848.47,40100.0,0.0,226991.85,269840.32,0,0.11625955514615019,0,True,TN - No fraude correctamente ignorado
CASH_IN,126274.39,638396.64,764671.03,728448.66,602174.28,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,62591.39,16782644.64,16845236.03,1182180.22,1119588.83,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,152567.93,282.0,152849.93,264894.67,112326.73,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,445978.96,145.0,0.0,0.0,445978.96,0,0.0010034079551813821,0,True,TN - No fraude correctamente ignorado
CASH_IN,122958.59,7222466.11,7345424.7,4183749.97,4060791.37,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,83296.99,0.0,0.0,11951350.11,12034647.1,0,0.0005432551782029061,0,True,TN - No fraude correctamente ignorado
CASH_IN,331018.54,1240007.28,1571025.81,602239.05,271220.51,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,342038.83,0.0,0.0,9771346.11,10113384.94,0,0.0004105948789726393,0,True,TN - No fraude correctamente ignorado
CASH_OUT,16904.99,82187.0,65282.01,132870.62,149775.61,0,0.015315764447221776,0,True,TN - No fraude correctamente ignorado
CASH_OUT,50968.87,860.0,0.0,0.0,50968.87,0,0.007416951283217627,0,True,TN - No fraude correctamente ignorado
PAYMENT,286.62,340923.0,340636.38,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,191230.2,0.0,0.0,671298.39,862528.59,0,0.0002379890873683614,0,True,TN - No fraude correctamente ignorado
TRANSFER,211289.51,70140.0,0.0,1723950.46,1935239.97,0,0.003445339721824883,0,True,TN - No fraude correctamente ignorado
CASH_OUT,46801.2,146883.0,100081.8,184318.91,231120.11,0,0.0069433668572138445,0,True,TN - No fraude correctamente ignorado
TRANSFER,1010662.42,0.0,0.0,1366199.43,1903734.67,0,0.0031314192291559575,0,True,TN - No fraude correctamente ignorado
PAYMENT,35915.78,4316.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
PAYMENT,18967.35,490.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
PAYMENT,3166.9,107536.33,104369.42,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,161530.78,23201.0,0.0,0.0,161530.78,0,0.010101733452001797,0,True,TN - No fraude correctamente ignorado
CASH_OUT,132270.41,0.0,0.0,834656.43,966926.84,0,0.00030586162510431395,0,True,TN - No fraude correctamente ignorado
PAYMENT,15725.18,15973.05,247.87,0.0,0.0,0,0.00022836538461538464,0,True,TN - No fraude correctamente ignorado
TRANSFER,434671.83,6734.0,0.0,273481.91,708153.74,0,0.00010726865193723983,0,True,TN - No fraude correctamente ignorado
PAYMENT,10790.17,6792.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
CASH_OUT,159010.69,0.0,0.0,994970.71,1626276.86,0,0.0003717610597047189,0,True,TN - No fraude correctamente ignorado
PAYMENT,2851.97,130077.0,127225.03,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,318388.79,290209.63,608598.41,854724.99,536336.2,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,180360.82,2171965.18,2352326.0,662052.19,481691.37,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,370545.76,520734.2,891279.96,528887.79,158342.04,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,308961.96,0.0,0.0,946606.55,1446234.64,0,0.0004558230245804782,0,True,TN - No fraude correctamente ignorado
CASH_OUT,26824.56,0.0,0.0,170076.28,196900.84,0,0.04112661488260374,0,True,TN - No fraude correctamente ignorado
PAYMENT,6513.53,1357.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
CASH_OUT,80458.37,2492.84,0.0,280935.96,361394.33,0,0.0007660217777065235,0,True,TN - No fraude correctamente ignorado
CASH_OUT,75726.49,0.0,0.0,1468931.42,1544657.91,0,0.0003167291414624485,0,True,TN - No fraude correctamente ignorado
CASH_IN,95561.03,20904.0,116465.03,0.0,0.0,0,2.2648547828403942e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,25558.38,388890.0,363331.62,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,432526.7,5017.0,0.0,425263.53,857790.23,0,0.00043002579855656343,0,True,TN - No fraude correctamente ignorado
CASH_IN,207668.61,12911311.79,13118980.4,1258289.39,1050620.78,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_IN,70693.14,2172933.63,2243626.77,436437.26,365744.12,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,102988.23,0.0,0.0,2911233.26,3014221.49,0,0.000732212732361108,0,True,TN - No fraude correctamente ignorado
PAYMENT,45780.64,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,15262.65,24946.0,9683.35,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,4753.29,260888.09,256134.8,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,159676.55,11999.0,0.0,761458.38,921134.93,0,0.0006385568192790532,0,True,TN - No fraude correctamente ignorado
PAYMENT,58999.23,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
TRANSFER,793145.07,0.0,0.0,5955434.06,6748579.14,0,0.0031314192291559575,0,True,TN - No fraude correctamente ignorado
PAYMENT,8201.2,17097.0,8895.8,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,70417.79,31360.0,0.0,0.0,70417.79,0,0.00789689614892514,0,True,TN - No fraude correctamente ignorado
CASH_IN,232911.17,126097.0,359008.17,247844.93,14933.76,0,0.0021768707482993197,0,True,TN - No fraude correctamente ignorado
CASH_OUT,92073.7,0.0,0.0,898709.09,990782.79,0,0.00030586162510431395,0,True,TN - No fraude correctamente ignorado
CASH_OUT,224712.47,0.0,0.0,350738.64,575451.12,0,0.00027225694369754347,0,True,TN - No fraude correctamente ignorado
PAYMENT,1820.09,5267.0,3446.91,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,313532.25,2206496.42,2520028.67,398129.56,84597.32,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,4473.89,146557.32,142083.43,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,18380.2,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,195255.0,0.0,0.0,2881915.44,3077170.44,0,0.0006388191813531168,0,True,TN - No fraude correctamente ignorado
CASH_OUT,200226.97,69480.47,0.0,307084.5,507311.47,0,0.0025781119267346553,0,True,TN - No fraude correctamente ignorado
CASH_OUT,244371.83,22297.0,0.0,0.0,244371.83,0,0.0051499070641261805,0,True,TN - No fraude correctamente ignorado
CASH_OUT,179002.84,0.0,0.0,3969725.94,4148728.78,0,0.00043673911723473966,0,True,TN - No fraude correctamente ignorado
TRANSFER,10000000.0,640132.0,0.0,3216606.9,33905543.02,0,0.25193092676810075,0,True,TN - No fraude correctamente ignorado
PAYMENT,1268.81,23047.0,21778.19,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,239028.11,482.0,239510.11,369310.67,130282.56,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,37084.57,89122.0,52037.43,1374005.99,1411090.56,0,0.0023327115967201302,0,True,TN - No fraude correctamente ignorado
PAYMENT,5241.09,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_OUT,312049.57,88669.0,0.0,78135.25,390184.81,0,0.010912392711420157,0,True,TN - No fraude correctamente ignorado
PAYMENT,15829.61,37787.67,21958.06,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,12750.0,8907.43,0.0,0.0,0.0,0,0.001188773805344735,0,True,TN - No fraude correctamente ignorado
CASH_OUT,5720.17,0.0,0.0,470458.08,476178.25,0,0.0006753966917597258,0,True,TN - No fraude correctamente ignorado
CASH_OUT,238015.64,0.0,0.0,327832.86,565848.5,0,0.0002659948108150838,0,True,TN - No fraude correctamente ignorado
CASH_OUT,265837.6,0.0,0.0,0.0,265837.6,0,0.002700912220284748,0,True,TN - No fraude correctamente ignorado
CASH_OUT,337879.21,148264.0,0.0,0.0,337879.21,0,0.07228456878190034,0,True,TN - No fraude correctamente ignorado
CASH_IN,203524.78,9241496.67,9445021.45,2322269.13,2081286.61,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
DEBIT,4535.97,129177.0,124641.03,26125.33,30661.29,0,0.0004315229394815981,0,True,TN - No fraude correctamente ignorado
PAYMENT,14890.36,157711.0,142820.64,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,20808.0,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
PAYMENT,7314.65,64853.0,57538.35,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,9690.76,1254.0,0.0,0.0,0.0,0,0.00023252487336288392,0,True,TN - No fraude correctamente ignorado
CASH_OUT,93180.49,0.0,0.0,253392.89,346573.38,0,0.0007010171137650597,0,True,TN - No fraude correctamente ignorado
PAYMENT,16343.26,79574.0,63230.74,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,193372.76,0.0,0.0,213868.45,407241.21,0,0.00027872119358551936,0,True,TN - No fraude correctamente ignorado
TRANSFER,792824.29,0.0,0.0,2481713.92,3274538.21,0,0.0031314192291559575,0,True,TN - No fraude correctamente ignorado
PAYMENT,204.14,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_IN,108553.66,155471.81,264025.47,223448.23,114894.57,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,2127.3,0.0,0.0,0.0,0.0,0,0.00017148158812426017,0,True,TN - No fraude correctamente ignorado
CASH_IN,269587.26,49637.0,319224.26,44316.5,0.0,0,5.244673284804366e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,423730.22,474.0,0.0,1226727.72,1650457.94,0,0.0007129742408485989,0,True,TN - No fraude correctamente ignorado
TRANSFER,475891.44,50884.0,0.0,2968491.61,3444383.06,0,0.00032111202346205177,0,True,TN - No fraude correctamente ignorado
PAYMENT,7302.68,19440.0,12137.32,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
PAYMENT,29972.9,268363.16,238390.26,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,136220.52,49145.0,0.0,0.0,2497.99,0,0.09945830468245873,0,True,TN - No fraude correctamente ignorado
CASH_IN,197055.3,1844978.11,2042033.41,11191779.33,10994724.03,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_IN,142801.71,2797043.45,2939845.17,801549.58,658747.87,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,44145.15,15737.0,0.0,32568.64,76713.79,0,0.005828182238896215,0,True,TN - No fraude correctamente ignorado
CASH_IN,272177.43,11585.0,283762.43,228908.81,0.0,0,2.2648547828403942e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,8259.55,61920.0,53660.45,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,236466.52,0.0,0.0,646959.27,883425.79,0,0.00022526270459792577,0,True,TN - No fraude correctamente ignorado
CASH_IN,311082.27,8411050.83,8722133.1,317879.15,6796.88,0,3.904525810240521e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,124866.6,0.0,0.0,1231983.77,1356850.37,0,0.0003717610597047189,0,True,TN - No fraude correctamente ignorado
CASH_IN,135113.21,63677.0,198790.21,707982.8,572869.59,0,2.9798185019639714e-05,0,True,TN - No fraude correctamente ignorado
PAYMENT,6867.0,22431.0,15564.0,0.0,0.0,0,0.0,0,True,TN - No fraude correctamente ignorado
TRANSFER,490340.41,114.0,0.0,21823.59,512164.0,0,0.00010726865193723983,0,True,TN - No fraude correctamente ignorado
PAYMENT,10263.55,11156.98,893.43,0.0,0.0,0,0.00022836538461538464,0,True,TN - No fraude correctamente ignorado
CASH_OUT,416360.93,0.0,0.0,527885.01,944245.94,0,0.00043002579855656343,0,True,TN - No fraude correctamente ignorado
CASH_IN,60472.42,20032.0,80504.42,0.0,0.0,0,0.0013587367020983763,0,True,TN - No fraude correctamente ignorado
CASH_IN,54631.74,0.0,54631.74,81947.2,27315.46,0,0.0,0,True,TN - No fraude correctamente ignorado
CASH_OUT,283646.23,18478.0,0.0,0.0,283646.23,0,0.00314310275749644,0,True,TN - No fraude correctamente ignorado
CASH_IN,83076.75,11629.0,94705.75,0.0,0.0,0,2.2648547828403942e-05,0,True,TN - No fraude correctamente ignorado
CASH_OUT,206592.89,168693.0,0.0,2517101.15,2723694.04,0,0.10581598807284057,0,True,TN - No fraude correctamente ignorado
CASH_IN,37531.8,4265098.95,4302630.76,1798420.96,1870376.42,0,0.0,0,True,TN - No fraude correctamente ignorado
TRANSFER,207436.2,0.0,0.0,326646.44,383744.72,0,0.00013840513351482157,0,True,TN - No fraude correctamente ignorado
